Region,Distance,Category,MajorEvent,GroundCondition,Stick,HorseName,StartingStall,Weight,JockeyName,ChampionshipType,OwnerName,TOP1,TOP3,TOP5,EdadYears,FAVORITE,TrackHandedness_Left-Handed,TrackHandedness_Right-Handed,RaceCriteria_JUMP,Seasons_Spring,Seasons_Summer,Seasons_Winter,Schedule_Midday,Schedule_Night
SOUTH,1760,-100,1.0,3.0,7.177652675193659,Baaeed (GB),2,128,Jim Crowley,FLAT,William John Haggas,1,1,1,4.185176058828495,True,0,1,0,1,0,0,1,0
SOUTH,2177,-100,1.0,3.0,7.8,Fonteyn (GB),6,126,Andrea Atzeni,FLAT,Kevin Anthony Ryan,0,0,1,3.3201210307003035,False,0,1,0,0,1,0,0,0
SOUTH,2177,-100,1.0,3.0,7.8,Nashwa (GB),7,126,Hollie Doyle,FLAT,John &. Thady Gosden & T. Gosden,1,1,1,3.221556378448717,True,0,1,0,0,1,0,0,0
SOUTH,2177,-100,1.0,3.0,7.8,Rogue Millennium (IRE),9,126,Jack Mitchell,FLAT,Thomas Paul Clover,0,0,0,3.4816575441126254,False,0,1,0,0,1,0,0,0
MIDLANDS,1320,-100,1.0,3.0,7.3,Emaraaty Ana (GB),4,134,Tom Eaves,FLAT,Kevin Anthony Ryan,0,0,0,6.164901477176883,False,0,1,0,0,1,0,0,0
MIDLANDS,1320,-100,1.0,3.0,7.3,Alcohol Free (IRE),6,131,Rob Hornby,FLAT,Andrew Matthews Balding,1,1,1,4.297648898410721,False,0,1,0,0,1,0,0,0
SOUTH,1760,-100,1.0,3.0,7.177652675193659,Lights On (GB),7,125,Richard Kingscote,FLAT,Michael Ronald Stoute,0,0,0,5.250221884547025,False,0,1,0,1,0,0,1,0
SOUTH,1760,-100,1.0,3.0,7.177652675193659,Chindit (IRE),3,128,Pat Dobbs,FLAT,Richard Hannon,0,0,1,4.278264897066104,False,0,1,0,1,0,0,1,0
SOUTH,1760,-100,1.0,3.0,7.177652675193659,Accidental Agent (GB),1,128,Charles Bishop,FLAT,Eve Annette Johnson Houghton,0,0,0,8.185258196038705,False,0,1,0,1,0,0,1,0
SOUTH,2177,-100,1.0,3.0,7.8,Lilac Road (IRE),3,135,Tom Marquand,FLAT,William John Haggas,0,1,1,4.450876624586557,False,0,1,0,0,1,0,0,0
MIDLANDS,1320,-100,1.0,3.0,7.3,Double Or Bubble (IRE),7,131,Jack Mitchell,FLAT,Christian Frederick Wall,0,0,1,5.187468675681986,False,0,1,0,0,1,0,0,0
SOUTH,2177,-100,1.0,3.0,7.8,Dreamloper (IRE),2,135,Kieran Shoemark,FLAT,Edward Charles Deverill Walker,0,0,1,5.255821284641178,False,0,1,0,0,1,0,0,0
MIDLANDS,1320,-100,1.0,3.0,7.3,Naval Crown (GB),5,134,James Doyle,FLAT,Charles Edward James Appleby,0,1,1,4.423592620732192,True,0,1,0,0,1,0,0,0
MIDLANDS,1320,-100,1.0,3.0,7.3,Creative Force (IRE),3,134,William Buick,FLAT,Charles Edward James Appleby,0,0,1,4.278483549361802,False,0,1,0,0,1,0,0,0
MIDLANDS,1320,-100,1.0,3.0,7.3,Flaming Rib (IRE),11,128,Ben Curtis,FLAT,Hugo Bailie Rohan Palmer,0,0,0,3.4078291211394562,False,0,1,0,0,1,0,0,0
SOUTH,1760,-100,1.0,3.0,7.177652675193659,Real World (IRE),5,128,Daniel Tudhope,FLAT,Saeed bin Suroor,0,1,1,5.252959791554013,False,0,1,0,1,0,0,1,0
SOUTH,1760,-100,1.0,3.0,7.177652675193659,Sir Busker (IRE),6,128,William Buick,FLAT,William James Knight,0,0,1,6.235868407062887,False,0,1,0,1,0,0,1,0
SOUTH,2177,-100,1.0,3.0,7.8,Aristia (IRE),1,135,Sean Levey,FLAT,Richard Hannon,0,1,1,4.281126390153269,False,0,1,0,0,1,0,0,0
MIDLANDS,1320,-100,1.0,3.0,7.3,Happy Romance (IRE),8,131,Sean Levey,FLAT,Richard Hannon,0,0,0,4.327765875487595,False,0,1,0,0,1,0,0,0
SOUTH,2646,-100,1.0,4.0,7.1,Kawida (GB),3,128,Jim Crowley,FLAT,Edward Charles Deverill Walker,0,0,1,3.235350486320732,False,1,0,0,1,0,0,0,0
SOUTH,2646,-100,1.0,4.0,7.1,Nashwa (GB),5,128,Hollie Doyle,FLAT,John &. Thady Gosden & T. Gosden,0,1,1,3.071076065901422,False,1,0,0,1,0,0,0,0
SOUTH,2646,-100,1.0,4.0,7.1,Rogue Millennium (IRE),6,128,Jack Mitchell,FLAT,Thomas Paul Clover,0,0,0,3.33117723156533,False,1,0,0,1,0,0,0,0
SOUTH,2646,-100,1.0,4.0,7.1,Moon de Vega (GB),4,128,Rossa Ryan,FLAT,Ralph Michael Beckett,0,0,0,3.2326125793137437,False,1,0,0,1,0,0,0,0
SOUTH,2646,-100,1.0,4.0,7.1,With The Moonlight (IRE),11,128,William Buick,FLAT,Charles Edward James Appleby,0,0,0,3.2928465334674906,False,1,0,0,1,0,0,0,0
SOUTH,2646,-100,1.0,4.0,7.1,Emily Upjohn (GB),2,128,Frankie Dettori,FLAT,John &. Thady Gosden & T. Gosden,0,1,1,3.2408263003347093,True,1,0,0,1,0,0,0,0
NORTH,2608,-100,1.0,4.0,7.0,Alpinista (GB),1,135,Luke Morris,FLAT,Mark Prescott Bt,1,1,1,5.502232915270144,True,1,0,0,0,1,0,0,0
NORTH,1100,-100,1.0,4.0,7.0,Khaadem (IRE),6,141,Ryan Moore,JUMP,Charles Barrington Hills,0,0,1,6.337294552401639,False,1,0,0,0,1,0,0,0
NORTH,1100,-100,1.0,4.0,7.0,Khaadem (IRE),6,141,Ryan Moore,FLAT,Charles Barrington Hills,0,0,1,6.337294552401639,False,1,0,0,0,1,0,0,0
NORTH,1100,-100,1.0,4.0,7.0,The Platinum Queen (IRE),15,114,Hollie Doyle,FLAT,Richard Aiden Fahey,0,1,1,2.5316038126876133,False,1,0,0,0,1,0,0,0
NORTH,1100,-100,1.0,4.0,7.0,Emaraaty Ana (GB),5,141,Kevin Stott,FLAT,Kevin Anthony Ryan,0,1,1,6.277060598247892,False,1,0,0,0,1,0,0,0
NORTH,1100,-100,1.0,4.0,7.0,Winter Power (IRE),12,138,David Allan,FLAT,Tim David Easterby,0,0,0,4.428973368530649,False,1,0,0,0,1,0,0,0
NORTH,1100,-100,1.0,4.0,7.0,Highfield Princess (FR),11,138,Jason Hart,FLAT,John Joseph Quinn,1,1,1,5.280462447704075,False,1,0,0,0,1,0,0,0
NORTH,1100,-100,1.0,4.0,7.0,Royal Aclaim (IRE),14,136,Andrea Atzeni,FLAT,James Julian Stuart Tate,0,0,0,3.495347079147568,True,1,0,0,0,1,0,0,0
NORTH,2608,-100,1.0,4.0,7.0,Poptronic (GB),5,126,Sam James,FLAT,Karl Richard Burke,0,0,0,3.4049961479169473,False,1,0,0,0,1,0,0,0
NORTH,2608,-100,1.0,4.0,7.0,Lilac Road (IRE),3,135,Tom Marquand,FLAT,William John Haggas,0,0,1,4.508372671733316,False,1,0,0,0,1,0,0,0
NORTH,1100,-100,1.0,4.0,7.0,Raasel (GB),8,141,Tom Marquand,FLAT,Michael Appleby,0,0,0,5.537825706360994,False,1,0,0,0,1,0,0,0
NORTH,1100,-100,1.0,4.0,7.0,Acklam Express (IRE),1,141,Rowan Scott,FLAT,Nigel Delfosse Tinkler,0,0,0,4.330408716279063,False,1,0,0,0,1,0,0,0
NORTH,1100,-100,1.0,4.0,7.0,Lazuli (IRE),7,141,William Buick,FLAT,Charles Edward James Appleby,0,0,0,5.348910122878787,False,1,0,0,0,1,0,0,0
NORTH,1100,-100,1.0,4.0,7.0,Dragon Symbol (GB),4,141,David Egan,FLAT,Roger Patrick Varian,0,0,1,4.352311972334971,False,1,0,0,0,1,0,0,0
NORTH,1100,-100,1.0,4.0,7.0,Clarendon House (GB),3,141,Ray Dawson,FLAT,Robert Manuel Houghton Cowell,0,0,0,4.374215228390879,False,1,0,0,0,1,0,0,0
MIDLANDS,1760,-100,1.0,4.0,7.5,Polly Pott (GB),7,128,David Probert,JUMP,Harry James Leeper Dunlop,0,0,1,2.660285442016073,False,0,1,0,0,0,0,0,0
MIDLANDS,1760,-100,1.0,4.0,7.5,Bright Diamond (IRE),2,128,Clifford Lee,FLAT,Karl Richard Burke,0,1,1,2.5014868356107396,False,0,1,0,0,0,0,0,0
MIDLANDS,1760,-100,1.0,4.0,7.5,Ferrari Queen (IRE),4,128,Andrea Atzeni,FLAT,Charlie &. Mark Johnston,0,0,0,2.649333813988119,False,0,1,0,0,0,0,0,0
MIDLANDS,1760,-100,1.0,4.0,7.5,Polly Pott (GB),7,128,David Probert,FLAT,Harry James Leeper Dunlop,0,0,1,2.660285442016073,False,0,1,0,0,0,0,0,0
MIDLANDS,1760,-100,1.0,4.0,7.5,Novakai (GB),6,128,William Buick,FLAT,Karl Richard Burke,0,1,1,2.5890998598343717,False,0,1,0,0,0,0,0,0
MIDLANDS,1760,-100,1.0,4.0,7.5,Commissioning (GB),3,128,Robert Havlin,FLAT,John &. Thady Gosden & T. Gosden,1,1,1,2.4576803234989235,True,0,1,0,0,0,0,0,0
MIDLANDS,1760,-100,1.0,4.0,7.5,Sparkling Beauty (FR),8,128,David Egan,FLAT,Richard David Hughes,0,0,0,2.59183776684136,False,0,1,0,0,0,0,0,0
MIDLANDS,1760,-100,1.0,4.0,7.5,Alseyoob (IRE),1,128,Tom Marquand,FLAT,Ismail Mohammed Shehdad Mohammed,0,0,0,2.517914277652671,False,0,1,0,0,0,0,0,0
NORTH,3048,-100,1.0,3.0,7.1,Get Shirty (IRE),1,138,Daniel Tudhope,FLAT,David Blaise O'Meara,0,0,1,6.545375484932765,False,1,0,0,0,1,0,0,0
NORTH,3048,-100,1.0,3.0,7.1,Fancy Man (IRE),4,137,Sean Levey,FLAT,Richard Hannon,0,0,0,4.4207596475096835,False,1,0,0,0,1,0,0,0
NORTH,3048,-100,1.0,3.0,7.1,Alfred Boucher (GB),21,128,P. J. McDonald,FLAT,Ian Paul Williams,0,1,1,6.474189902751064,False,1,0,0,0,1,0,0,0
NORTH,3048,-100,1.0,3.0,7.1,Candleford (IRE),12,132,Tom Marquand,FLAT,William John Haggas,0,0,0,4.530275927789224,False,1,0,0,0,1,0,0,0
NORTH,3048,-100,1.0,3.0,7.1,Enemy (GB),2,138,David Egan,FLAT,Ian Paul Williams,0,0,0,5.324268959815891,False,1,0,0,0,1,0,0,0
NORTH,3048,-100,1.0,3.0,7.1,Valley Forge (GB),22,128,David Probert,FLAT,Andrew Matthews Balding,0,0,0,4.3057675532161666,False,1,0,0,0,1,0,0,0
SOUTH,3520,-100,1.0,4.0,7.4,Coltrane (IRE),2,137,Rob Hornby,FLAT,Andrew Matthews Balding,0,0,1,5.521398264319063,False,0,1,0,0,1,0,0,0
SOUTH,3520,-100,1.0,4.0,7.4,Stradivarius (IRE),6,137,Andrea Atzeni,FLAT,John &. Thady Gosden & T. Gosden,0,1,1,8.40715224968495,False,0,1,0,0,1,0,0,0
SOUTH,3520,-100,1.0,4.0,7.4,Thunderous (IRE),7,137,Franny Norton,FLAT,Charlie &. Mark Johnston,0,0,0,5.411881984039523,False,0,1,0,0,1,0,0,0
SOUTH,3520,-100,1.0,4.0,7.4,Enemy (GB),3,137,William Buick,FLAT,Ian Paul Williams,0,0,0,5.255821284641178,False,0,1,0,0,1,0,0,0
SOUTH,4390,-100,1.0,3.0,7.177652675193659,Alignak (GB),1,130,Saffie Osborne,FLAT,James Anthony Osborne,0,0,0,6.359283368051515,False,0,1,0,1,0,0,0,0
SOUTH,1320,-100,1.0,3.0,7.177652675193659,Go Bears Go (IRE),7,128,Rossa Ryan,FLAT,David Loughnane,0,0,0,3.270781664845198,False,0,1,0,1,0,0,0,0
SOUTH,1100,-100,1.0,3.0,7.177652675193659,King's Lynn (GB),7,133,David Probert,JUMP,Andrew Matthews Balding,0,0,0,5.316064745416478,False,0,1,0,1,0,0,0,0
SOUTH,4390,-100,1.0,3.0,7.177652675193659,Tashkhan (IRE),7,129,Ben Robinson,JUMP,Brian Ellison,0,0,1,4.333232182880019,False,0,1,0,1,0,0,0,0
SOUTH,1753,-100,1.0,3.0,7.177652675193659,Maljoom (IRE),9,128,Cieren Fallon,FLAT,William John Haggas,0,0,1,3.155932169874961,False,0,1,0,1,0,0,0,0
SOUTH,4390,-100,1.0,3.0,7.177652675193659,Mojo Star (IRE),6,129,Rossa Ryan,FLAT,Richard Hannon,0,1,1,4.1908610185166175,False,0,1,0,1,0,0,0,0
